title,relation,predicate,str
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageRedirects,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageExternalLink,https://web.archive.org/web/20170825060559/http:/www.npr.org/templates/transcript/transcript.php%3FstoryId=10236467
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Category:1996_establishments_in_California
http://dbpedia.org/resource/%21%21%21,direct,rdfs:comment,"!!! (произносится chk chk chk, что теоретически имитирует щёлкающие согласные) — американская группа, созданная осенью 1996 года после совместного тура членов местных групп The Yah Mos, Black Liquorice и Popesmashers. Название группы было вдохновлено субтитрами фильма «Наверное, боги сошли с ума», в котором щёлкающие звуки языка бушменов представлялись как «!». (@ru)"
http://dbpedia.org/resource/%21%21%21,direct,owl:sameAs,http://cs.dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdf:type,http://dbpedia.org/class/yago/WikicatAmericanIndieRockGroups
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Category:Indie_rock_musical_groups_from_California
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageExternalLink,http://www.pitchforkmedia.com/article/news/46289-john-pugh-leaves-fires-up-free-blood
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:spinoffOf,Black Liquorice (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,rdfs:label,!!! (@pl)
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Dance-punk_musical_groups
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/Shake_the_Shudder
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbp:name,!!! (@en)
http://dbpedia.org/resource/%21%21%21,direct,dbp:wikiPageUsesTemplate,http://dbpedia.org/resource/Template:N/a
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/UK_Albums_Chart
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/The_New_York_Times
http://dbpedia.org/resource/%21%21%21,direct,dbo:wikiPageWikiLink,http://dbpedia.org/resource/!!!
